review_text,rating
"This movie is an absolute masterpiece! The acting, the plot, everything was perfect.",10
"I was really disappointed with the story. It felt very slow and boring.",4
"Amazing visual effects and CGI. The director did a fantastic job.",9
"The characters were so well written and the soundtrack was emotional and touching.",9
"Worst movie I've ever seen. A complete waste of time and money.",1
"A beautiful story about family and love. I cried at the end.",8
"The action scenes were thrilling, but the plot was a bit confusing.",7
"Nolan's direction combined with Zimmer's score creates an unforgettable cinematic experience.",10
"The script was full of plot holes and the acting felt very wooden.",3
"A visually stunning animation that pushes the boundaries of the medium.",9
